Sent CAN message: ID=0x10, Data=88
Sent CAN message: ID=0x11, Data=6a
Sent CAN message: ID=0x12, Data=d76b9b814059e4bc
Sent CAN message: ID=0x13, Data=00765c0c801964
Sent CAN message: ID=0x14, Data=d941c980bca59180
Sent CAN message: ID=0x20, Data=dd825a
Sent CAN message: ID=0x21, Data=9355506814811823
Sent CAN message: ID=0x22, Data=6734d4353c
Sent CAN message: ID=0x23, Data=29e1016e00b40f03
Sent CAN message: ID=0x24, Data=2dba433780
Sent CAN message: ID=0x30, Data=742706
Sent CAN message: ID=0x31, Data=849718ea19285c
Sent CAN message: ID=0x40, Data=0932be
Sent CAN message: ID=0x41, Data=5f8598ba601052
Sent CAN message: ID=0x50, Data=9d0118
Sent CAN message: ID=0x51, Data=7d1400000000031d
Sent CAN message: ID=0x60, Data=0e744a
Sent CAN message: ID=0x61, Data=fd9465a8f80c
Sent CAN message: ID=0x71, Data=5ab537519cfc
Sent CAN message: ID=0x72, Data=5906ef7e73207090
